Parent Title 2017,Hierarchy Level 2017,Parent Title 2018,Hierarchy Level 2018,Child Title 2017,Child Title 2018,Child Hierarchy Level 2017,Child Hierarchy Level 2018,Semantic Similarity Score
Subtitle J—Coal Industry Health,1.Subtitle,Subtitle J—Coal Industry Health Benefits,1.Subtitle,CHAPTER 99—COAL INDUSTRY HEALTH   BENEFITS,CHAPTER 99 —COAL INDUSTRY HEALTH BENEFITS,2.Chapter,2.Chapter,1.0000001
Subtitle J—Coal Industry Health,1.Subtitle,Subtitle J—Coal Industry Health Benefits,1.Subtitle,CHAPTER 99—COAL INDUSTRY HEALTH   BENEFITS,CHAPTER 99 —COAL INDUSTRY HEALTH BENEFITS,2.Chapter,2.Chapter,1.0000001
Subtitle J—Coal Industry Health,1.Subtitle,Subtitle J—Coal Industry Health Benefits,1.Subtitle,CHAPTER 99—COAL INDUSTRY HEALTH   BENEFITS,CHAPTER 99 —COAL INDUSTRY HEALTH BENEFITS,2.Chapter,2.Chapter,1.0000001
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter A—Estates of Citizens or Residents,Subchapter A —Determination of Tax Liability,3.Subchapter,3.Subchapter,0.79046726
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter A—Estates of Citizens or Residents,Subchapter B —Transfers,3.Subchapter,3.Subchapter,0.72822106
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter A—Estates of Citizens or Residents,Subchapter C —Deductions,3.Subchapter,3.Subchapter,0.7422682
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter B—Estates of Nonresidents Not   Citizens,Subchapter A —Determination of Tax Liability,3.Subchapter,3.Subchapter,0.79316545
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter B—Estates of Nonresidents Not   Citizens,Subchapter B —Transfers,3.Subchapter,3.Subchapter,0.8009982
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter B—Estates of Nonresidents Not   Citizens,Subchapter C —Deductions,3.Subchapter,3.Subchapter,0.789271
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter C—Miscellaneous,Subchapter A —Determination of Tax Liability,3.Subchapter,3.Subchapter,0.79704905
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter C—Miscellaneous,Subchapter B —Transfers,3.Subchapter,3.Subchapter,0.85787666
CHAPTER 11—ESTATE TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter C—Miscellaneous,Subchapter C —Deductions,3.Subchapter,3.Subchapter,0.94406044
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter A—Determination of Tax Liability,Subchapter A —Determination of Tax Liability,3.Subchapter,3.Subchapter,1.0000002
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter A—Determination of Tax Liability,Subchapter B —Transfers,3.Subchapter,3.Subchapter,0.77295494
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter A—Determination of Tax Liability,Subchapter C —Deductions,3.Subchapter,3.Subchapter,0.81605476
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter B—Transfers,Subchapter A —Determination of Tax Liability,3.Subchapter,3.Subchapter,0.77295494
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter B—Transfers,Subchapter B —Transfers,3.Subchapter,3.Subchapter,0.99999976
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter B—Transfers,Subchapter C —Deductions,3.Subchapter,3.Subchapter,0.86134803
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,Subchapter C—Deductions,Subchapter A —Determination of Tax Liability,3.Subchapter,3.Subchapter,0.81605476
