Parent Title 2017,Hierarchy Level 2017,Total Children 2017,Parent Title 2018,Hierarchy Level 2018,Total Children 2018,Semantic Matches,Semantic Similarity Avg,Levenshtein_Matches,Levenshtein Distance Avg,Jaccard_Matches,Jaccard Similarity Avg,Matching Children,Matching Children Same Level
GROUP HEALTH PLAN REQUIREMENTS,2.Chapter,4,GROUP HEAL TH PLAN,2.Chapter,4,8,0.9999998956918716,8,0.0,8,1.0,8,8
ESTATE TAX,2.Chapter,3,GIFT TAX,2.Chapter,3,0,0.0,2,10.0,0,0.0,0,0
GIFT TAX,2.Chapter,3,GIFT TAX,2.Chapter,3,5,0.9602288246154785,5,6.4,3,1.0,3,3
TAX ON GENERATION SKIPPING TRANSFERS,2.Chapter,7,T AX ON GENERA TIONSKIPPING TRANSFERS,2.Chapter,7,11,0.962591908194802,11,2.1818181818181817,7,1.0,7,7
SPECIAL VALUATION RULES,2.Chapter,0,SPECIAL VALU ATION RULES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
GIFTS AND BEQUESTS FROM EXPATRIATES,2.Chapter,0,GIFTS AND BEQUESTS FROM EXPATRIA TES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
NORMAL TAXES AND SURTAXES,2.Chapter,26,NORMAL TAXES AND SURT AXES,2.Chapter,26,27,0.9920194413926866,31,1.3548387096774193,26,0.9334401709401708,26,26
FEDERAL INSURANCE CONTRIBUTIONS ACT,2.Chapter,3,FEDERAL INSURANCE CONTRIBUTIONS ACT,2.Chapter,3,6,1.2160762548446655,6,2.6666666666666665,2,1.0,2,2
RAILROAD RETIREMENT TAX ACT,2.Chapter,4,RAILROAD RETIREMENT TAX ACT,2.Chapter,5,8,1.3505345433950424,8,2.25,4,0.75,4,4
ARAILROAD UNEMPLOYMENT REPAYMENT TAX,2.Chapter,0,ARAILROAD UNEMPLOYMENT REP AYMENT TAX,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
FEDERAL UNEMPLOYMENT TAX ACT,2.Chapter,1,FEDERAL UNEMPLOYMENT TAX ACT,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
COLLECTION OF INCOME TAX AT SOURCE ON WAGES,2.Chapter,1,COLLECTION OF INCOME TAX AT SOURCE ON WAGES,2.Chapter,1,0,0.0,0,0.0,0,0.0,0,0
GENERAL PROVISIONS RELATING TO EMPLOYMENT TAXES,2.Chapter,0,GENERAL PROVISIONS RELA TING TO EMPLOYMENT TAXES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
AUNEARNED INCOME MEDICARE CONTRIBUTION,2.Chapter,0,AUNEARNED INCOME MEDICARE CONTRIBUTION,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
TAX ON SELFEMPLOYMENT INCOME,2.Chapter,0,T AX ON SELFEMPLOYMENT INCOME,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
RETAIL EXCISE TAXES,2.Chapter,3,RET AIL EXCISE TAXES,2.Chapter,3,6,0.9999999006589254,6,0.0,6,1.0,6,6
MANUFACTURERS EXCISE TAXES,2.Chapter,7,MANUFACTURERS EXCISE TAXES,2.Chapter,7,14,1.0000000170298986,14,0.0,14,1.0,14,14
FACILITIES AND SERVICES,2.Chapter,5,FACILITIES AND SERVICES,2.Chapter,5,8,0.9726719260215759,8,0.375,6,0.9500000000000001,6,6
TAXES ON CERTAIN INSURANCE POLICIES,2.Chapter,2,T AXES ON CERT AIN INSURANCE POLICIES,2.Chapter,2,4,0.948758065700531,4,1.0,2,1.0,2,2
TAXES ON WAGERING,2.Chapter,3,T AXES ON WAGERING,2.Chapter,3,5,0.9662201166152954,5,0.4,3,1.0,3,3
CERTAIN OTHER EXCISE TAXES,2.Chapter,4,CERT AIN O THER EXCISE TAXES,2.Chapter,4,6,0.9575041135152181,6,0.5,4,0.90625,4,4
REPEALED,2.Chapter,0,REPEALED,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
ENVIRONMENTAL TAXES,2.Chapter,4,ENVIRONMENT AL TAXES,2.Chapter,4,4,0.9535384476184845,6,1.1666666666666667,4,0.6428571428571428,4,4
REPEALED,2.Chapter,2,REPEALED,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
REGISTRATIONREQUIRED OBLIGATIONS,2.Chapter,0,REGISTRA TIONREQUIRED OBLIGA TIONS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
WITHHOLDING OF TAX ON NONRESIDENT ALIENS AND FOREIGN,2.Chapter,2,WITHHOLDING OF TAX ON NON RESIDENT ALIENS AND FOREIGN CORPORA,2.Chapter,2,4,0.975074052810669,4,0.5,4,0.7857142857142857,4,4
GENERAL PROVISIONS RELATING TO OCCUPATIONAL TAXES,2.Chapter,0,GENERAL PROVISIONS RELA TING TO OCCUP ATIONAL TAXES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
PUBLIC CHARITIES,2.Chapter,0,PUBLIC CHARITIES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
PRIVATE FOUNDATIONS AND CERTAIN OTHER TAXEXEMPT ORGANIZA,2.Chapter,8,PRIV ATE FOUNDA TIONS AND CERT AIN O THER TAXEXEMPT ORGANIZA,2.Chapter,8,13,0.9663592347731957,13,1.2307692307692308,8,0.817857142857143,8,8
QUALIFIED PENSION ETC PLANS,2.Chapter,0,QU ALIFIED PENSION ETC PLANS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
QUALIFIED INVESTMENT ENTITIES,2.Chapter,0,QU ALIFIED INVESTMENT ENTITIES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
PROVISIONS RELATING TO EXPATRIATED ENTITIES,2.Chapter,0,PROVISIONS RELA TING TO EXPATRIA TED ENTITIES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
GOLDEN PARACHUTE,2.Chapter,0,GOLDEN P ARACHUTE PAYMENTS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
CERTAIN GROUP HEALTH PLANS,2.Chapter,0,CERT AIN GROUP HEAL TH PLANS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
MAINTENANCE OF MINIMUM ESSENTIAL COVERAGE,2.Chapter,0,MAINTENANCE OF MINIMUM ESSENTIAL COVERAGE,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
COSMETIC SERVICES,2.Chapter,0,COSMETIC SERVICES,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
TAXES TO ENFORCE REPORT ING ON CERTAIN FOREIGN ACCOUNTS,2.Chapter,0,T AXES TO ENFORCE REPORTING ON CERT AIN FOREIGN ACCOUNTS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
FOREIGN PROCUREMENT,2.Chapter,0,FOREIGN PROCUREMENT,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
DISTILLED SPIRITS WINES AND BEER,2.Chapter,10,DISTILLED SPIRITS WINES AND BEER,2.Chapter,10,19,1.0385666928793256,19,1.0526315789473684,19,0.9438596491228071,19,19
TOBACCO PRODUCTS AND CIGARETTE PAPERS AND TUBES,2.Chapter,7,T OBACCO PRODUCTS AND CIGARETTE P APERS AND TUBES,2.Chapter,7,14,0.9818327597209385,14,1.8571428571428572,12,0.9045584045584046,12,12
MACHINE GUNS DESTRUC,2.Chapter,4,MACHINE GUNS DESTRUC TIVE DEVICES AND CERT AIN O THER FIRE,2.Chapter,3,3,1.0000000794728596,5,0.4,3,1.0,3,3
GREENMAIL,2.Chapter,0,GREENMAIL,2.Chapter,1,0,0.0,0,0.0,0,0.0,0,0
STRUCTURED SETTLEMENT FACTORING TRANSACTIONS,2.Chapter,0,STRUCTURED SETTLEMENT FACT ORING TRANSACTIONS,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
REPEALED,2.Chapter,0,REPEALED,2.Chapter,0,0,0.0,0,0.0,0,0.0,0,0
INFORMATION AND RETURNS,2.Chapter,2,INFORMA TION AND RETURNS,2.Chapter,2,4,1.0000000596046448,4,0.0,4,1.0,4,4
TIME AND PLACE FOR PAYING TAX,2.Chapter,2,TIME AND PLACE FOR PAYING TAX,2.Chapter,2,4,0.9999999403953552,4,0.0,4,1.0,4,4
ASSESSMENT,2.Chapter,3,ASSESSMENT,2.Chapter,3,6,0.9420554637908936,6,0.6666666666666666,4,1.0,4,4
COLLECTION,2.Chapter,4,COLLECTION,2.Chapter,5,6,0.9504694640636444,6,0.3333333333333333,4,1.0,4,4
ABATEMENTS CREDITS AND REFUNDS,2.Chapter,3,ABA TEMENTS CREDITS AND REFUNDS,2.Chapter,2,2,0.9999999403953552,2,0.0,2,1.0,2,2
LIMITATIONS,2.Chapter,4,LIMIT ATIONS,2.Chapter,4,6,0.960838387409846,4,0.5,6,0.799404761904762,4,4
INTEREST,2.Chapter,3,INTEREST,2.Chapter,4,6,1.0000000794728596,6,0.0,6,1.0,6,6
ADDITIONS TO THE TAX AD DITIONAL AMOUNTS AND ASSESSABLE,2.Chapter,4,ADDITIONS TO THE TAX ADDI TIONAL AMOUNTS AND ASSESSABLE PEN,2.Chapter,2,3,0.9651925563812256,3,0.3333333333333333,2,1.0,2,2
GENERAL PROVISIONS RELATING TO STAMPS,2.Chapter,0,GENERAL PROVISIONS RELA TING TO ST AMPS,2.Chapter,1,0,0.0,0,0.0,0,0.0,0,0
