Parent Title 2017,Hierarchy Level 2017,Parent Title 2018,Hierarchy Level 2018,Child Title 2017,Child Title 2018,Child Hierarchy Level 2017,Child Hierarchy Level 2018,Semantic Similarity Score
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 1—NORMAL TAXES AND   SURTAXES,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.9900851
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 2—TAX ON SELF-EMPLOYMENT   INCOME,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.8175229
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 2A—UNEARNED INCOME   MEDICARE CONTRIBUTION,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7969545
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 3—WITHHOLDING OF TAX ON   NONRESIDENT ALIENS AND FOREIGN,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7858696
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 4—TAXES TO ENFORCE REPORT - ING ON CERTAIN FOREIGN ACCOUNTS,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7848722
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 5—REPEALED],CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.6767271
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 6—CONSOLIDATED RETURNS,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7745906
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 21—FEDERAL INSURANCE   CONTRIBUTIONS ACT,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7903694
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 22—RAILROAD RETIREMENT TAX   ACT,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7812933
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 23—FEDERAL UNEMPLOYMENT   TAX ACT,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.79771185
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 23A—RAILROAD UNEMPLOYMENT   REPAYMENT TAX,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7825775
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 24—COLLECTION OF INCOME TAX   AT SOURCE ON WAGES,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7830641
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 25—GENERAL PROVISIONS   RELATING TO EMPLOYMENT TAXES,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7822184
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.9411355
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8233829
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.7957833
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8049227
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART V—REP EALED],4.Part,4.Part,0.7671819
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART I—TAX ON INDIVIDUALS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8162199
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8425883
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.9093969
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.78853273
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.8059274
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART V—REP EALED],4.Part,4.Part,0.7567704
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART II—TAX ON CORPORATIONS,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.78834057
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.76361585
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.78349483
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.9006847
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.81818336
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART V—REP EALED],4.Part,4.Part,0.6862182
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART III—CHANGES IN RATES DURING A   TAXABLE YEAR,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.80552167
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.8365874
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.8284106
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.8220036
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.89812416
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART V—REP EALED],4.Part,4.Part,0.8077395
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART IV—CREDITS AGAINST TAX,PART VI—AL TERNATIVE M INIMUM T AX,4.Part,4.Part,0.8398809
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART I—T AX O N INDIVIDUALS,4.Part,4.Part,0.75115097
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART II—T AX O N CO RPORATIONS,4.Part,4.Part,0.73174316
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART III—CH ANGES IN RA TES D URING A TAXABL E YE AR,4.Part,4.Part,0.6853507
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,PART V—REPEALED],PART IV—CRED ITS A GAINST T AX,4.Part,4.Part,0.7992197
