Parent Title 2017,Hierarchy Level 2017,Parent Title 2018,Hierarchy Level 2018,Child Title 2017,Child Title 2018,Child Hierarchy Level 2017,Child Hierarchy Level 2018,Semantic Similarity Score,Angle (Degrees)
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 1—NORMAL TAXES AND   SURTAXES,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.9900851,8.074965476989746
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 2—TAX ON SELF-EMPLOYMENT   INCOME,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.8175229,35.162410736083984
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 2A—UNEARNED INCOME   MEDICARE CONTRIBUTION,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7969545,37.15974044799805
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 3—WITHHOLDING OF TAX ON   NONRESIDENT ALIENS AND FOREIGN,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7858696,38.198822021484375
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 4—TAXES TO ENFORCE REPORT - ING ON CERTAIN FOREIGN ACCOUNTS,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7848722,38.291141510009766
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 5—REPEALED],CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.6767271,47.411582946777344
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 6—CONSOLIDATED RETURNS,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7745906,39.2320671081543
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 21—FEDERAL INSURANCE   CONTRIBUTIONS ACT,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7903694,37.77995300292969
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 22—RAILROAD RETIREMENT TAX   ACT,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.7812933,38.62085723876953
Subtitle C—Employment Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,CHAPTER 23—FEDERAL UNEMPLOYMENT   TAX ACT,CHAPTER 1—NORMAL TAXES AND SURT AXES,2.Chapter,2.Chapter,0.79771185,37.08784484863281
