2018 Headline,2017 Headline,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
### Internal Revenue Title Structure (2018),### Internal Revenue Title Structure,0.79,7,0.83
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
#### Subtitle A—Income Taxes,#### Subtitle A—Income Taxes,1,0,1
#### Subtitle A—Income Taxes,#### Subtitle C—Employment Taxes,0.81,8,0.6
#### Subtitle A—Income Taxes,#### Subtitle D—Miscellaneous Excise Taxes,0.77,18,0.5
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
1. **Chapter 1**: Normal Taxes and Surtaxes,Chapter 1: Normal Taxes and Surtaxes,0.87,7,0.44
#NAME?,Subchapter A: Determination of Tax Liability,0.93,2,0.86
#NAME?,Subchapter A: Imposition of Tax,0.78,20,0.5
#NAME?,Part I: Tax on Individuals,0.93,2,0.83
#NAME?,Part II: Tax on Corporations,0.93,2,0.83
#NAME?,Part II: Corporate Liquidations,0.81,16,0.25
#NAME?,Part III: Changes in Rates During a Taxable Year,0.94,2,0.9
#NAME?,Subchapter B: Computation of Taxable Income,0.94,2,0.86
#NAME?,Part I: Deductions,0.92,2,0.75
#NAME?,Part II: Exemptions,0.8,8,0.17
#NAME?,Part I: Deductions,0.78,8,0.17
#NAME?,Part II: Exemptions,0.93,2,0.75
#NAME?,Subchapter C: Corporate Distributions and Adjustments,0.95,2,0.86
#NAME?,Part I: Distributions to Shareholders,0.95,2,0.83
#NAME?,Part II: Tax on Corporations,0.82,16,0.25
#NAME?,Part II: Corporate Liquidations,0.93,2,0.8
#NAME?,"Subchapter D: Deferred Compensation, etc.",0.93,2,0.83
#NAME?,"Part I: Qualified Pension, Profit-Sharing, and Stock Bonus Plans",0.96,2,0.9
#NAME?,Part II: Certain Stock Options,0.95,2,0.83
#NAME?,Subchapter E: Accounting Periods and Methods of Accounting,0.94,2,0.88
#NAME?,Subchapter F: Exempt Organizations,0.93,2,0.8
#NAME?,Subchapter G: Corporations Used to Avoid Income Tax on Shareholders,0.93,2,0.91
#NAME?,Subchapter H: Banking Institutions,0.93,2,0.8
#NAME?,Subchapter I: Natural Resources,0.93,2,0.8
#NAME?,"Subchapter J: Estates, Trusts, Beneficiaries, and Decedents",0.95,2,0.88
#NAME?,Subchapter K: Partners and Partnerships,0.92,2,0.83
#NAME?,Subchapter L: Insurance Companies,0.92,2,0.8
#NAME?,Subchapter M: Regulated Investment Companies and Real Estate Investment Trusts,0.93,2,0.9
#NAME?,Subchapter N: Tax Based on Income From Sources Within or Without the United States,0.95,2,0.93
#NAME?,Subchapter O: Gain or Loss on Disposition of Property,0.94,2,0.9
#NAME?,Subchapter P: Capital Gains and Losses,0.93,2,0.86
#NAME?,Subchapter Q: Readjustment of Tax Between Years and Special Limitations,0.95,2,0.91
#NAME?,Subchapter R: Election to Determine Corporate Tax on Certain International Shipping Activities Using Per Ton Rate,0.93,2,0.94
#NAME?,Subchapter S: Tax Treatment of S Corporations and Their Shareholders,0.94,2,0.91
#NAME?,Subchapter T: Cooperatives and Their Patrons,0.93,2,0.86
#NAME?,"Subchapter U: Designation and Treatment of Empowerment Zones, Enterprise Communities, and Rural Development Investment Areas",0.96,2,0.93
- Subchapter V: Title 11 Cases,Subchapter V: Title 11 Cases,0.94,2,0.83
#NAME?,Subchapter Z: Opportunity Zones,0.94,2,0.8
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
2. **Chapter 2**: Tax on Self-Employment Income,Chapter 2: Tax on Self-Employment Income,0.83,7,0.44
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Sec. 5000A: Tax imposed.,0.44,10,0.4
#NAME?,Sec. 5000C: Tax imposed.,0.45,10,0.4
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
#NAME?,Tax imposed.,0.83,3,0.67
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
3. **Chapter 2A**: Unearned Income Medicare Contribution,Chapter 2A: Unearned Income Medicare Contribution,0.86,7,0.44
#NAME?,Additional tax imposed.,0.85,3,0.75
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
4. **Chapter 3**: Withholding of Tax on Nonresident Aliens and Foreign Corporations,Chapter 3: Withholding of Tax on Nonresident Aliens and Foreign Corporations,0.86,7,0.64
#NAME?,Withholding obligation.,0.81,3,0.67
#NAME?,Withholding obligations.,0.73,4,0.25
#NAME?,Tax imposed on foreign corporations.,0.85,3,0.83
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
5. **Chapter 4**: Taxes to Enforce Reporting on Certain Foreign Accounts,Chapter 4: Taxes to Enforce Reporting on Certain Foreign Accounts,0.86,7,0.62
#NAME?,Withholding obligation.,0.72,4,0.25
#NAME?,Withholding obligations.,0.8,3,0.67
#NAME?,Special rules.,0.87,3,0.67
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,---,0.21,3,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
,,1,0,0
