2018 Headline,2018 hierarchy_level,2017 Headline,2017 hierarchy_level,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
Subtitle A—Income Taxes,1.Subtitle,Subtitle A—Income Taxes,1.Subtitle,1.00,0,1.00
Subtitle A—Income Taxes,1.Subtitle,Subpart A—Tax Imposed,5.Subpart,0.85,16,0.00
Subtitle A—Income Taxes,1.Subtitle,Subchapter A—Tax Imposed,3.Subchapter,0.86,17,0.00
Subtitle A—Income Taxes,1.Subtitle,Subtitle C—Employment Taxes,1.Subtitle,0.78,8,0.50
Subtitle A—Income Taxes,1.Subtitle,Subchapter A—Tax on Wagers,3.Subchapter,0.86,15,0.00
Subtitle A—Income Taxes,1.Subtitle,Subchapter A—Taxes,3.Subchapter,0.89,13,0.00
CHAPTER 1—NORMAL TAXES AND SURTAXES,2.Chapter,CHAPTER 1—NORMAL TAXES AND SURTAXES,2.Chapter,1.00,0,1.00
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,1.00,0,1.00
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,1.00,0,1.00
PART I—TAX ON INDIVIDUALS,4.Part,PART I—TAX ON INDIVIDUALS,4.Part,1.00,0,1.00
PART I—TAX ON INDIVIDUALS,4.Part,PART II—TAX ON CORPORATIONS,4.Part,0.81,12,0.33
PART I—TAX ON INDIVIDUALS,4.Part,PART I—INCOME AVERAGING,4.Part,0.82,17,0.17
PART I—TAX ON INDIVIDUALS,4.Part,PART I—TAX TREATMENT OF COOPERATIVES,4.Part,0.83,21,0.29
PART I—TAX ON INDIVIDUALS,4.Part,PART I—TAX IMPOSED,4.Part,0.86,12,0.40
PART I—TAX ON INDIVIDUALS,4.Part,PART I—PERSONS,4.Part,0.85,15,0.20
PART I—TAX ON INDIVIDUALS,4.Part,PART I—INDIVIDUAL EMPLOYER PLANS,4.Part,0.83,21,0.14
§1. Tax imposed,6.Section,§1. Tax imposed,6.Section,1.00,0,1.00
§1. Tax imposed,6.Section,§11. Tax imposed,6.Section,0.83,1,0.50
§1. Tax imposed,6.Section,§164. Taxes,6.Section,0.58,9,0.00
§1. Tax imposed,6.Section,§165. Losses,6.Section,0.42,10,0.00
§1. Tax imposed,6.Section,§166. Bad debts,6.Section,0.42,10,0.00
§1. Tax imposed,6.Section,Subpart A—Tax Imposed,5.Subpart,0.61,10,0.00
§1. Tax imposed,6.Section,§801. Tax imposed,6.Section,0.73,2,0.50
§1. Tax imposed,6.Section,§2101. Tax imposed,6.Section,0.71,3,0.50
§1. Tax imposed,6.Section,§2601. Tax imposed,6.Section,0.69,3,0.50
§2. Definitions and special rules,6.Section,§2. Definitions and special rules,6.Section,1.00,0,1.00
§2. Definitions and special rules,6.Section,§59. Other definitions and special rules,6.Section,0.78,9,0.38
§2. Definitions and special rules,6.Section,§150. Definitions and special rules,6.Section,0.81,3,0.67
§2. Definitions and special rules,6.Section,§346. Definition and special rule,6.Section,0.72,5,0.25
§2. Definitions and special rules,6.Section,§414. Definitions and special rules,6.Section,0.77,3,0.67
§2. Definitions and special rules,6.Section,§424. Definitions and special rules,6.Section,0.81,2,0.67
§2. Definitions and special rules,6.Section,§672. Definitions and rules,6.Section,0.74,10,0.50
§2. Definitions and special rules,6.Section,§818. Other definitions and special rules,6.Section,0.76,10,0.38
§2. Definitions and special rules,6.Section,§864. Definitions and special rules,6.Section,0.79,3,0.67
§2. Definitions and special rules,6.Section,§989. Other definitions and special rules,6.Section,0.73,10,0.38
§2. Definitions and special rules,6.Section,§1275. Other definitions and special rules,6.Section,0.72,10,0.38
§2. Definitions and special rules,6.Section,§1278. Definitions and special rules,6.Section,0.77,3,0.67
§2. Definitions and special rules,6.Section,§1283. Definitions and special rules,6.Section,0.77,3,0.67
§2. Definitions and special rules,6.Section,§1355. Definitions and special rules,6.Section,0.72,4,0.67
§2. Definitions and special rules,6.Section,§1377. Definitions and special rule,6.Section,0.77,5,0.43
§2. Definitions and special rules,6.Section,§1388. Definitions; special rules,6.Section,0.68,8,0.29
§2. Definitions and special rules,6.Section,§1393. Definitions and special rules,6.Section,0.75,4,0.67
§2. Definitions and special rules,6.Section,§1563. Definitions and special rules,6.Section,0.75,4,0.67
§2. Definitions and special rules,6.Section,§4052. Definitions and special rules,6.Section,0.81,3,0.67
§2. Definitions and special rules,6.Section,§4132. Definitions and special rules,6.Section,0.81,3,0.67
§2. Definitions and special rules,6.Section,§4377. Definitions and special rules,6.Section,0.76,4,0.67
§2. Definitions and special rules,6.Section,§4462. Definitions and special rules,6.Section,0.82,3,0.67
§2. Definitions and special rules,6.Section,§4612. Definitions and special rules,6.Section,0.84,3,0.67
§2. Definitions and special rules,6.Section,§4662. Definitions and special rules,6.Section,0.83,3,0.67
§2. Definitions and special rules,6.Section,§4672. Definitions and special rules,6.Section,0.83,3,0.67
§2. Definitions and special rules,6.Section,§4682. Definitions and special rules,6.Section,0.81,3,0.67
§2. Definitions and special rules,6.Section,§4946. Definitions and special rules,6.Section,0.76,4,0.67
§2. Definitions and special rules,6.Section,§6241. Definitions and special rules,6.Section,0.80,3,0.67
§2. Definitions and special rules,6.Section,§6664. Definitions and special rules,6.Section,0.79,4,0.67
§3. Tax tables for individuals,6.Section,§3. Tax tables for individuals,6.Section,1.00,0,1.00
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,1.00,0,1.00
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§76. Repealed. Pub. L. 94–455, title XIX, §1901(a)(14), Oct. 4, 1976, 90 Stat. 1765]",6.Section,0.86,12,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§187. Repealed. Pub. L. 94–455, title XIX, §1901(a)(31), Oct. 4, 1976, 90 Stat. 1769]",6.Section,0.80,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§214. Repealed. Pub. L. 94–455, title V, §504(b)(1), Oct. 4, 1976, 90 Stat. 1565]",6.Section,0.92,5,0.65
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§242. Repealed. Pub. L. 94–455, title XIX, §1901(a)(33), Oct. 4, 1976, 90 Stat. 1769]",6.Section,0.82,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§342. Repealed. Pub. L. 94–455, title XIX, §1901(a)(47), Oct. 4, 1976, 90 Stat. 1772]",6.Section,0.84,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§363. Repealed. Pub. L. 94–455, title XIX, §1901(a)(49), Oct. 4, 1976, 90 Stat. 1773]",6.Section,0.83,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§373. Repealed. Pub. L. 94–455, title XIX, §1901(a)(52), Oct. 4, 1976, 90 Stat. 1773]",6.Section,0.84,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§§391 to 395. Repealed. Pub. L. 94–455, title XIX, §1901(a)(55), Oct. 4, 1976, 90 Stat. 1773]",6.Section,0.80,22,0.50
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§583. Repealed. Pub. L. 94–455, title XIX, §1901(a)(82), Oct. 4, 1976, 90 Stat. 1778]",6.Section,0.82,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§592. Repealed. Pub. L. 94–455, title XIX, §1901(a)(83), Oct. 4, 1976, 90 Stat. 1778]",6.Section,0.84,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§601. Repealed. Pub. L. 94–455, title XIX, §1901(a)(85), Oct. 4, 1976, 90 Stat. 1778]",6.Section,0.85,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§615. Repealed. Pub. L. 94–455, title XIX, §1901(a)(88), Oct. 4, 1976, 90 Stat. 1779]",6.Section,0.84,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§632. Repealed. Pub. L. 94–455, title XIX, §1901(a)(90), Oct. 4, 1976, 90 Stat. 1779]",6.Section,0.83,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§669. Repealed. Pub. L. 94–455, title VII, §701(d)(1), Oct. 4, 1976, 90 Stat. 1578]",6.Section,0.85,8,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§972. Repealed. Pub. L. 94–455, title XIX, §1901(a)(120), Oct. 4, 1976, 90 Stat. 1784]",6.Section,0.82,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§981. Repealed. Pub. L. 94–455, title X, §1012(b)(2), Oct. 4, 1976, 90 Stat. 1614]",6.Section,0.81,10,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1002. Repealed. Pub. L. 94–455, title XIX, §1901(b)(28)(B)(i), Oct. 4, 1976, 90 Stat. 1799]",6.Section,0.81,20,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1020. Repealed. Pub. L. 94–455, title XIX, §1901(a)(125), Oct. 4, 1976, 90 Stat. 1784]",6.Section,0.81,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1111. Repealed. Pub. L. 94–455, title XIX, §1901(a)(134), Oct. 4, 1976, 90 Stat. 1786]",6.Section,0.81,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1240. Repealed. Pub. L. 94–455, title XIX, §1901(a)(139), Oct. 4, 1976, 90 Stat. 1787]",6.Section,0.79,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1315. Repealed. Pub. L. 94–455, title XIX, §1901(a)(143), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.77,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1321. Repealed. Pub. L. 94–455, title XIX, §1901(a)(144), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.79,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§§1331 to 1337. Repealed. Pub. L. 94–455, title XIX, §1901(a)(145)(A), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.74,26,0.50
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1342. Repealed. Pub. L. 94–455, title XIX, §1901(a)(147), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.78,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1346. Repealed. Pub. L. 94–455, title XIX, §1901(a)(148), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.81,13,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1347. Repealed. Pub. L. 94–455, title XIX, §1951(b)(12)(A), Oct. 4, 1976, 90 Stat. 1840]",6.Section,0.80,16,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§1465. Repealed. Pub. L. 94–455, title XIX, §1901(a)(156), Oct. 4, 1976, 90 Stat. 1789]",6.Section,0.82,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§2052. Repealed. Pub. L. 94–455, title XX, §2001(a)(4), Oct. 4, 1976, 90 Stat. 1848]",6.Section,0.83,12,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,0.79,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§2521. Repealed. Pub. L. 94–455, title XX, §2001(b)(3), Oct. 4, 1976, 90 Stat. 1849]",6.Section,0.84,12,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§3113. Repealed. Pub. L. 94–455, title XIX, §1903(a)(2), Oct. 4, 1976, 90 Stat. 1806]",6.Section,0.77,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§4226. Repealed. Pub. L. 94–455, title XIX, §1904(a)(4), Oct. 4, 1976, 90 Stat. 1811]",6.Section,0.84,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§4292. Repealed. Pub. L. 94–455, title XIX, §1904(a)(9), Oct. 4, 1976, 90 Stat. 1812]",6.Section,0.81,14,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§§4294, 4295. Repealed. Pub. L. 94–455, title XIX, §1904(a)(10), (11), Oct. 4, 1976, 90 Stat. 1812]",6.Section,0.81,27,0.50
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§§4591 to 4597. Repealed. Pub. L. 94–455, title XIX, §1904(a)(15), Oct. 4, 1976, 90 Stat. 1814]",6.Section,0.83,23,0.50
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§5315. Repealed. Pub. L. 94–455, title XIX, §1905(a)(19), Oct. 4, 1976, 90 Stat. 1820]",6.Section,0.80,15,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§5676. Repealed. Pub. L. 94–455, title XIX, §1905(b)(1)(A), Oct. 4, 1976, 90 Stat. 1822]",6.Section,0.84,16,0.56
"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,"[§5689. Repealed. Pub. L. 94–455, title XIX, §1905(b)(2)(E)(i), Oct. 4, 1976, 90 Stat. 1822]",6.Section,0.82,20,0.56
